dataset,n,model,kernel,bandwidth,kappa,mean_test_rss,sd_test_rss,mean_test_mae_deg,n_folds
EE0-data-225x225/EE0data_rot_37.5deg/arrow_segments.mat,154,RBF NW smoother,rbf,7.776433385344691,,0.13913099318549627,0.06736070858240562,15.079967984586421,5
EE0-data-225x225/EE0data_rot_37.5deg/arrow_segments.mat,154,Uniform NW smoother,uniform,10.537750970713459,,0.14440776468282554,0.07658556693251846,16.09616043528882,5
EE0-data-225x225/EE0data_rot_37.5deg/arrow_segments.mat,154,RBF-von-Mises NW smoother,multiplicative_rbf_vm,220.0,16.0,0.11119145539634394,0.09006106809851386,11.844205527825196,5
EE02-data-225x225/EE02data_rot_57.5deg/arrow_segments.mat,141,RBF NW smoother,rbf,3.1252015509056803,,0.33400979464878183,0.1437091251712436,24.772497700957324,5
EE02-data-225x225/EE02data_rot_57.5deg/arrow_segments.mat,141,Uniform NW smoother,uniform,14.279579084422442,,0.3500017275833881,0.16472090606497905,25.914178390829782,5
EE02-data-225x225/EE02data_rot_57.5deg/arrow_segments.mat,141,RBF-von-Mises NW smoother,multiplicative_rbf_vm,5.73869285436427,64.0,0.2944537847525696,0.10198675306167847,23.39709357943951,5
EE02-data-225x225/EE02data_rot_59.5deg/arrow_segments.mat,136,RBF NW smoother,rbf,4.569170612463134,,0.27818799163045277,0.1345318596415967,21.876767696251697,5
EE02-data-225x225/EE02data_rot_59.5deg/arrow_segments.mat,136,Uniform NW smoother,uniform,7.207565326386083,,0.2779399271957103,0.11915595847724825,22.51412350398819,5
EE02-data-225x225/EE02data_rot_59.5deg/arrow_segments.mat,136,RBF-von-Mises NW smoother,multiplicative_rbf_vm,4.234922881072401,1.5,0.2713769106116561,0.14025602552944122,21.82214892638542,5
EE03-data-225x225/EE03data_rot_-20.5deg/arrow_segments.mat,105,RBF NW smoother,rbf,1.0,,0.32127066935901527,0.18603643838165054,22.588105830430507,5
EE03-data-225x225/EE03data_rot_-20.5deg/arrow_segments.mat,105,Uniform NW smoother,uniform,14.279579084422442,,0.3170066385230905,0.19598037205658547,22.717547329368102,5
EE03-data-225x225/EE03data_rot_-20.5deg/arrow_segments.mat,105,RBF-von-Mises NW smoother,multiplicative_rbf_vm,10.537750970713459,64.0,0.2804740574086938,0.16878979283073803,19.41548155833993,5
EE03-data-225x225/EE03data_rot_-23.5deg/arrow_segments.mat,103,RBF NW smoother,rbf,5.73869285436427,,0.14570877466822946,0.057067952696876846,16.469089066057514,5
EE03-data-225x225/EE03data_rot_-23.5deg/arrow_segments.mat,103,Uniform NW smoother,uniform,14.279579084422442,,0.1932339433420081,0.08426358344187024,18.552583595467098,5
EE03-data-225x225/EE03data_rot_-23.5deg/arrow_segments.mat,103,RBF-von-Mises NW smoother,multiplicative_rbf_vm,5.73869285436427,2.0,0.1378467595388108,0.059229064723692,15.98548904357511,5
