dataset,model,bandwidth,kappa,mean_test_rss,mean_test_mae_deg,n_folds
EE02-data-225x225/EE02data_rot_57.5deg/arrow_segments.mat,Uniform NW smoother,14.279579084422442,,0.3500017275833881,25.914178390829782,5
EE02-data-225x225/EE02data_rot_59.5deg/arrow_segments.mat,RBF-von-Mises NW smoother,4.234922881072401,1.5,0.2713769106116561,21.82214892638542,5
EE02-data-225x225/EE02data_rot_59.5deg/arrow_segments.mat,RBF NW smoother,4.569170612463134,,0.27818799163045277,21.876767696251697,5
EE02-data-225x225/EE02data_rot_59.5deg/arrow_segments.mat,Uniform NW smoother,7.207565326386083,,0.2779399271957103,22.51412350398819,5
EE03-data-225x225/EE03data_rot_-20.5deg/arrow_segments.mat,RBF-von-Mises NW smoother,10.537750970713459,64.0,0.2804740574086938,19.41548155833993,5
EE03-data-225x225/EE03data_rot_-20.5deg/arrow_segments.mat,RBF NW smoother,1.0,,0.32127066935901527,22.588105830430507,5
EE03-data-225x225/EE03data_rot_-20.5deg/arrow_segments.mat,Uniform NW smoother,14.279579084422442,,0.3170066385230905,22.717547329368102,5
EE03-data-225x225/EE03data_rot_-23.5deg/arrow_segments.mat,RBF-von-Mises NW smoother,5.73869285436427,2.0,0.1378467595388108,15.98548904357511,5
EE03-data-225x225/EE03data_rot_-23.5deg/arrow_segments.mat,RBF NW smoother,5.73869285436427,,0.14570877466822946,16.469089066057514,5
EE03-data-225x225/EE03data_rot_-23.5deg/arrow_segments.mat,Uniform NW smoother,14.279579084422442,,0.1932339433420081,18.552583595467098,5
