dataset,n,model,family,mean_test_rss,sd_test_rss,mean_test_mae_deg,p_median,gamma_median
EE-0p42-data-225x225/EE-0.42data_rot_-12deg/arrow_segments.mat,90,Parametric p=1 (Archimedean),parametric_fixed_p,0.6742197919411603,0.19086226758834776,39.615367661254886,1.0,-2.990072750108279
EE-0p42-data-225x225/EE-0.42data_rot_-12deg/arrow_segments.mat,90,Parametric p=2 (Fermat),parametric_fixed_p,0.6786942436622457,0.16534115769048158,39.287885850643974,2.0,0.011696806447550303
EE-0p42-data-225x225/EE-0.42data_rot_-12deg/arrow_segments.mat,90,Parametric continuous p,parametric_continuous_p,0.7029867240936792,0.19646384249834636,40.485370025218614,1.1318380592835522,0.04160938203457439
EE-0p43-data-225x225/EE-0.43data_rot_56.5deg/arrow_segments.mat,89,Parametric p=0 (Logarithmic),parametric_fixed_p,0.7879095990474311,0.21544676467874374,44.47130751643917,0.0,-1.3687399557849083
EE-0p43-data-225x225/EE-0.43data_rot_56.5deg/arrow_segments.mat,89,Parametric p=1 (Archimedean),parametric_fixed_p,0.7714300362398178,0.247775399549362,43.529870054540275,1.0,-2.8251715853401524
EE-0p43-data-225x225/EE-0.43data_rot_56.5deg/arrow_segments.mat,89,Parametric p=2 (Fermat),parametric_fixed_p,0.7271602810232402,0.21101165252656306,42.244922849783435,2.0,0.019473961774243587
EE-0p43-data-225x225/EE-0.43data_rot_56.5deg/arrow_segments.mat,89,Parametric continuous p,parametric_continuous_p,0.7516770069709983,0.20143628581974474,43.28476161068758,2.999,0.002604434251305421
EE-0p6-data-225x225/EE-0.6data_rot_-67deg/arrow_segments.mat,65,Parametric p=0 (Logarithmic),parametric_fixed_p,0.7413793590927228,0.2891773988926234,41.11790571343975,0.0,-2.276521931196913
EE-0p6-data-225x225/EE-0.6data_rot_-67deg/arrow_segments.mat,65,Parametric p=1 (Archimedean),parametric_fixed_p,0.8123821445003896,0.3360053149985624,43.46677127879459,1.0,0.03139552930773738
EE-0p6-data-225x225/EE-0.6data_rot_-67deg/arrow_segments.mat,65,Parametric p=2 (Fermat),parametric_fixed_p,1.0494376293419152,0.29018982037931246,52.74896356645356,2.0,-0.003831253169295031
EE-0p6-data-225x225/EE-0.6data_rot_-67deg/arrow_segments.mat,65,Parametric continuous p,parametric_continuous_p,0.8816510687667757,0.2727651261871103,44.81009941027572,0.33229390878572995,-2.5754205801633585
EE-0p62-data-225x225/EE-0.62data_rot_27deg/arrow_segments.mat,172,Parametric p=0 (Logarithmic),parametric_fixed_p,0.6815035231565696,0.19530887352000673,39.36153663199038,0.0,-1.5183843683723839
EE-0p62-data-225x225/EE-0.62data_rot_27deg/arrow_segments.mat,172,Parametric p=1 (Archimedean),parametric_fixed_p,0.6553717709135519,0.14904724519305504,38.60860298377944,1.0,-0.5285625921324617
EE-0p62-data-225x225/EE-0.62data_rot_27deg/arrow_segments.mat,172,Parametric p=2 (Fermat),parametric_fixed_p,0.6605925133449764,0.15128758658413033,38.95456648012804,2.0,-0.08308639551755756
EE-0p62-data-225x225/EE-0.62data_rot_27deg/arrow_segments.mat,172,Parametric continuous p,parametric_continuous_p,0.6969888268377296,0.19124771352789213,39.92976370416475,0.8589453486454097,-0.4908635516254666
EE-0p63-data-225x225/EE-0.63data_rot_6deg/arrow_segments.mat,41,Parametric p=0 (Logarithmic),parametric_fixed_p,0.8130691130783143,0.26688642211044705,43.33653658319286,0.0,1.5345883100221127
EE-0p63-data-225x225/EE-0.63data_rot_6deg/arrow_segments.mat,41,Parametric p=1 (Archimedean),parametric_fixed_p,0.6853162601421598,0.3492596904406751,40.45666997258942,1.0,2.2929952534689155
EE-0p63-data-225x225/EE-0.63data_rot_6deg/arrow_segments.mat,41,Parametric p=2 (Fermat),parametric_fixed_p,0.6580604721335471,0.28749025512856474,39.83550198162591,2.0,1.4522674238733413
EE-0p63-data-225x225/EE-0.63data_rot_6deg/arrow_segments.mat,41,Parametric continuous p,parametric_continuous_p,0.799410504002872,0.27339917669835,42.70003456562167,-0.999,1.6147115587384493
EE-0p8-data-226x225/EE-0.8data_rot_34deg/arrow_segments.mat,68,Parametric p=0 (Logarithmic),parametric_fixed_p,0.5371784006479624,0.2640834314570447,33.98418179724058,0.0,1.698843290136875
