dataset,n,model,family,p,gamma,rss,rss_per_point,mae_deg,log_likelihood,bic,bic_log_evidence,k_params
EE+0p43-data-225x225/EE_0.43data_rot_14.5deg/arrow_segments.mat,129,Parametric p=0 (Logarithmic),parametric_fixed_p,0.0,1.5556965620042806,79.47198240203039,0.6160618790855069,37.19545404059055,-151.79876333398715,308.45733907233597,-154.22866953616798,1
EE+0p43-data-225x225/EE_0.43data_rot_14.5deg/arrow_segments.mat,129,Parametric p=1 (Archimedean),parametric_fixed_p,1.0,-1.0221587783175698,79.32138068890168,0.6148944239449743,37.250233276371404,-151.67641800140893,308.21264840717953,-154.10632420358976,1
EE+0p43-data-225x225/EE_0.43data_rot_14.5deg/arrow_segments.mat,129,Parametric p=2 (Fermat),parametric_fixed_p,2.0,2.9850872587653368,78.87432181984197,0.6114288513166044,36.92046070601437,-151.31186481369403,307.4835420317497,-153.74177101587486,1
EE+0p43-data-225x225/EE_0.43data_rot_14.5deg/arrow_segments.mat,129,Parametric continuous p,parametric_continuous_p,2.999,3.1070740759248605,78.65461441425751,0.6097256931337791,36.74949745192388,-151.13194692447775,311.9835186576788,-155.9917593288394,2
EE+0p6-data-225x225/EE_0.6data_rot_39.5deg/arrow_segments.mat,69,Parametric p=0 (Logarithmic),parametric_fixed_p,0.0,1.8149629279016117,40.25797325363327,0.5834488877338154,34.57379110020357,-79.31821305642784,162.87053261745294,-81.43526630872647,1
EE+0p6-data-225x225/EE_0.6data_rot_39.5deg/arrow_segments.mat,69,Parametric p=1 (Archimedean),parametric_fixed_p,1.0,2.639411145786413,40.48106614202962,0.5866821180004292,35.31801829228486,-79.50886987610947,163.2518462568162,-81.6259231284081,1
EE+0p6-data-225x225/EE_0.6data_rot_39.5deg/arrow_segments.mat,69,Parametric p=2 (Fermat),parametric_fixed_p,2.0,3.039089744385091,40.90187101858183,0.5927807393997366,36.002836685133055,-79.86564976465887,163.965406033915,-81.9827030169575,1
EE+0p6-data-225x225/EE_0.6data_rot_39.5deg/arrow_segments.mat,69,Parametric continuous p,parametric_continuous_p,-0.999,-1.5593231361111362,39.6417429419846,0.5745180136519508,34.52040050163625,-78.78603676552125,166.04028654023702,-83.02014327011851,2
EE+0p62-data-225x225/EE_0.62data_rot_37.5deg/arrow_segments.mat,68,Parametric p=0 (Logarithmic),parametric_fixed_p,0.0,1.9755806531795788,39.00211012066545,0.5735604429509625,34.72424886289843,-77.58749379294872,159.39449529107355,-79.69724764553678,1
EE+0p62-data-225x225/EE_0.62data_rot_37.5deg/arrow_segments.mat,68,Parametric p=1 (Archimedean),parametric_fixed_p,1.0,2.8565307806319518,40.371952575543425,0.5937051849344621,35.68304923446498,-78.76115850535939,161.7418247158949,-80.87091235794745,1
EE+0p62-data-225x225/EE_0.62data_rot_37.5deg/arrow_segments.mat,68,Parametric p=2 (Fermat),parametric_fixed_p,2.0,-0.051463675210677455,41.620230558450196,0.6120622140948558,37.39961203561659,-79.79649454087865,163.81249678693342,-81.90624839346671,1
EE+0p62-data-225x225/EE_0.62data_rot_37.5deg/arrow_segments.mat,68,Parametric continuous p,parametric_continuous_p,-0.48249567193218734,-1.472800013127621,38.78176012212314,0.5703200017959285,34.953277363180945,-77.39485951110922,163.22873443257066,-81.61436721628533,2
EE+0p63-data-225x225/EE_0.63data_rot_-30.5deg/arrow_segments.mat,87,Parametric p=0 (Logarithmic),parametric_fixed_p,0.0,1.7812674897160374,49.743492547137194,0.5717642821510023,35.51800466317433,-99.12991408831051,202.72573629527562,-101.36286814763781,1
EE+0p63-data-225x225/EE_0.63data_rot_-30.5deg/arrow_segments.mat,87,Parametric p=1 (Archimedean),parametric_fixed_p,1.0,2.9465523230548136,47.21536909015904,0.5427053918409085,35.02837277079943,-96.86094555928449,198.18779923722357,-99.09389961861179,1
EE+0p63-data-225x225/EE_0.63data_rot_-30.5deg/arrow_segments.mat,87,Parametric p=2 (Fermat),parametric_fixed_p,2.0,-0.016950768616349816,47.91967008072122,0.5508008055255312,35.0977205913766,-97.50503322842023,199.47597457549506,-99.73798728774753,1
EE+0p63-data-225x225/EE_0.63data_rot_-30.5deg/arrow_segments.mat,87,Parametric continuous p,parametric_continuous_p,1.1308775356600014,-0.13809966574089663,47.18793044896516,0.542390005160519,35.02060614550612,-96.83565871165581,202.60313366062078,-101.30156683031039,2
EE+0p8-data-226x225/EE_0.8data_rot_0deg/arrow_segments.mat,163,Parametric p=0 (Logarithmic),parametric_fixed_p,0.0,1.9576447307204603,109.18182773143809,0.6698271639965527,39.45170424522202,-198.62703244148318,402.3478150837731,-201.17390754188656,1
EE+0p8-data-226x225/EE_0.8data_rot_0deg/arrow_segments.mat,163,Parametric p=1 (Archimedean),parametric_fixed_p,1.0,-0.07539209890408997,110.34038189941734,0.676934858278634,39.69087499447972,-199.48729201629538,404.06833423339754,-202.03416711669877,1
EE+0p8-data-226x225/EE_0.8data_rot_0deg/arrow_segments.mat,163,Parametric p=2 (Fermat),parametric_fixed_p,2.0,3.131580160385804,114.99132627434524,0.7054682593518113,40.64670452339893,-202.8521607447281,410.798071690263,-205.3990358451315,1
