dataset,n,model,kernel,bandwidth,kappa,mean_test_rss,sd_test_rss,mean_test_mae_deg
Front_EE-1_1_3000x_rings_coords.csv,168,RBF-von-Mises kernel smoother,multiplicative_rbf_vm,1.0,0.5,0.3849522425519502,0.16930992983813362,26.962464388647696
Front_EE-1_1_3000x_rings_coords.csv,168,RBF-von-Mises kernel smoother,multiplicative_rbf_vm,1.0,0.75,0.3849534221558316,0.1693104033126558,26.96251711674818
Front_EE-1_1_3000x_rings_coords.csv,168,RBF-von-Mises kernel smoother,multiplicative_rbf_vm,1.0,1.0,0.3849546023726916,0.16931087671198947,26.962569851718985
Front_EE-1_1_3000x_rings_coords.csv,168,RBF-von-Mises kernel smoother,multiplicative_rbf_vm,1.0,1.25,0.384955783201679,0.16931135003653358,26.962622593531876
Front_EE-1_1_3000x_rings_coords.csv,168,RBF-von-Mises kernel smoother,multiplicative_rbf_vm,1.0,1.5,0.38495696464194423,0.1693118232866909,26.962675342158633
Front_EE-1_1_3000x_rings_coords.csv,168,RBF-von-Mises kernel smoother,multiplicative_rbf_vm,1.0,2.0,0.38495932935291804,0.16931276956544444,26.962780859741287
Front_EE-1_1_3000x_rings_coords.csv,168,RBF-von-Mises kernel smoother,multiplicative_rbf_vm,1.0,3.0,0.3849640660729169,0.1693146612478838,26.96299197543657
Front_EE-1_1_3000x_rings_coords.csv,168,RBF-von-Mises kernel smoother,multiplicative_rbf_vm,1.0,4.0,0.38496881247856,0.16931655178475727,26.96320319701128
Front_EE-1_1_3000x_rings_coords.csv,168,RBF-von-Mises kernel smoother,multiplicative_rbf_vm,1.0,6.0,0.38497833413103283,0.16932032952283543,26.963625950661104
Front_EE-1_1_3000x_rings_coords.csv,168,RBF-von-Mises kernel smoother,multiplicative_rbf_vm,1.0,8.0,0.3849878938803754,0.16932410298018513,26.96404910648789
Front_EE-1_1_3000x_rings_coords.csv,168,RBF-von-Mises kernel smoother,multiplicative_rbf_vm,1.0,12.0,0.3850071259617652,0.16933163784236996,26.96489656843405
Front_EE-1_1_3000x_rings_coords.csv,168,RBF-von-Mises kernel smoother,multiplicative_rbf_vm,1.0,16.0,0.3850265053301488,0.16933915792612733,26.965745471501073
Front_EE-1_1_3000x_rings_coords.csv,168,RBF-von-Mises kernel smoother,multiplicative_rbf_vm,1.0,24.0,0.3850656925371975,0.1693541597832959,26.967447164446845
Front_EE-1_1_3000x_rings_coords.csv,168,RBF-von-Mises kernel smoother,multiplicative_rbf_vm,1.0,32.0,0.38510542906111384,0.16936912021862566,26.969153329379292
Front_EE-1_1_3000x_rings_coords.csv,168,RBF-von-Mises kernel smoother,multiplicative_rbf_vm,1.0,48.0,0.38518644686150755,0.1693989604868128,26.972575783802732
Front_EE-1_1_3000x_rings_coords.csv,168,RBF-von-Mises kernel smoother,multiplicative_rbf_vm,1.0,64.0,0.38526935702632265,0.16942876022964207,26.976006503473617
Front_EE-1_1_3000x_rings_coords.csv,168,RBF-von-Mises kernel smoother,multiplicative_rbf_vm,1.1084948498869287,0.0,0.3846048807463588,0.16838283769075807,26.953069020289963
Front_EE-1_1_3000x_rings_coords.csv,168,RBF-von-Mises kernel smoother,multiplicative_rbf_vm,1.1084948498869287,0.125,0.3846053984754817,0.16838313671436708,26.953086974248368
Front_EE-1_1_3000x_rings_coords.csv,168,RBF-von-Mises kernel smoother,multiplicative_rbf_vm,1.1084948498869287,0.25,0.3846059164326834,0.1683834356736908,26.953104937214523
Front_EE-1_1_3000x_rings_coords.csv,168,RBF-von-Mises kernel smoother,multiplicative_rbf_vm,1.1084948498869287,0.5,0.3846069530305819,0.1683840333998075,26.953140890132932
Front_EE-1_1_3000x_rings_coords.csv,168,RBF-von-Mises kernel smoother,multiplicative_rbf_vm,1.1084948498869287,0.75,0.3846079905385714,0.16838463086975183,26.95317687897097
Front_EE-1_1_3000x_rings_coords.csv,168,RBF-von-Mises kernel smoother,multiplicative_rbf_vm,1.1084948498869287,1.0,0.38460902895517357,0.16838522808417314,26.953212903654553
Front_EE-1_1_3000x_rings_coords.csv,168,RBF-von-Mises kernel smoother,multiplicative_rbf_vm,1.1084948498869287,1.25,0.38461006827890964,0.16838582504371344,26.953248964109672
Front_EE-1_1_3000x_rings_coords.csv,168,RBF-von-Mises kernel smoother,multiplicative_rbf_vm,1.1084948498869287,1.5,0.38461110850830327,0.16838642174901902,26.953285060262356
Front_EE-1_1_3000x_rings_coords.csv,168,RBF-von-Mises kernel smoother,multiplicative_rbf_vm,1.1084948498869287,2.0,0.38461319167817326,0.16838761439949676,26.953357359365405
