dataset,n,estimator,model,kernel,bandwidth,kappa,sigma_n,mean_test_rss,sd_test_rss,mean_test_mae_deg,n_folds
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR RBF line field,rbf,101.81010123235768,,0.18,0.2570738243479446,0.2394562956749503,19.766350751561145,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR RBF line field,rbf,101.81010123235768,,0.32,0.30843149628403715,0.30716079106816435,22.55616165843767,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR RBF line field,rbf,101.81010123235768,,0.56,0.5491088900926719,0.44825852128896365,34.61873490329783,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR RBF line field,rbf,101.81010123235768,,1.0,0.9499127176599561,0.5209463576925794,50.52421871944666,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR RBF line field,rbf,220.0,,0.03,0.25852686605725506,0.23659819580320168,19.862733885578667,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR RBF line field,rbf,220.0,,0.06,0.286879723173022,0.2690403242887428,21.534637853435765,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR RBF line field,rbf,220.0,,0.1,0.41611830036609276,0.392404901897478,28.42052187584714,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR RBF line field,rbf,220.0,,0.18,0.8391986382362123,0.5273061130929902,46.46305938186924,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR RBF line field,rbf,220.0,,0.32,1.1549892347633517,0.4686073176900431,57.612446437005914,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR RBF line field,rbf,220.0,,0.56,1.2624440655399491,0.42836595692628054,60.86608124357199,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR RBF line field,rbf,220.0,,1.0,1.2798630509461888,0.4177509648115743,61.28652600472104,10
