dataset,n,estimator,model,kernel,bandwidth,kappa,sigma_n,mean_test_rss,sd_test_rss,mean_test_mae_deg,n_folds
EE+0p82-data-226x225/EE_0.82data_rot_-24.5deg/arrow_segments.mat,123,Nadaraya-Watson,NW RBF line field,rbf,4.669427353638992,,,0.2094887384670668,0.12726010844282512,19.892739278288254,10
EE+0p82-data-226x225/EE_0.82data_rot_-24.5deg/arrow_segments.mat,123,Nadaraya-Watson,NW uniform line field,uniform,10.090099168608685,,,0.22173882681992044,0.10218752674732252,20.932014114452908,10
EE+0p83-data-226x225/EE_0.83data_rot_43deg/arrow_segments.mat,158,GP/KRR,GP/KRR RBF-von-Mises line field,multiplicative_rbf_vm,21.80355181091204,2.0,1.0,0.08977422141932631,0.08493058990704905,11.691292833056028,10
EE+0p83-data-226x225/EE_0.83data_rot_43deg/arrow_segments.mat,158,GP/KRR,GP/KRR RBF line field,rbf,10.090099168608685,,1.0,0.10058665113197132,0.10324039530742327,12.422601836528754,10
EE+0p83-data-226x225/EE_0.83data_rot_43deg/arrow_segments.mat,158,GP/KRR,GP/KRR uniform line field,uniform,220.0,,1.0,0.5029972268792247,0.44827587887736403,32.2276290500966,10
EE+0p83-data-226x225/EE_0.83data_rot_43deg/arrow_segments.mat,158,Nadaraya-Watson,NW RBF-von-Mises line field,multiplicative_rbf_vm,4.669427353638992,32.0,,0.10366939292642455,0.08935257049979262,13.314703315547211,10
EE+0p83-data-226x225/EE_0.83data_rot_43deg/arrow_segments.mat,158,Nadaraya-Watson,NW RBF line field,rbf,4.669427353638992,,,0.11991477588948558,0.10483708675294216,14.100296381176781,10
EE+0p83-data-226x225/EE_0.83data_rot_43deg/arrow_segments.mat,158,Nadaraya-Watson,NW uniform line field,uniform,10.090099168608685,,,0.13102380283207252,0.09697916012821682,15.084638880351779,10
EE+1-data-225x225/EE_1data_rot_0deg/arrow_segments.mat,194,GP/KRR,GP/KRR RBF-von-Mises line field,multiplicative_rbf_vm,220.0,0.5,0.18,0.10144742420298909,0.10382920364733329,11.272126755529651,10
EE+1-data-225x225/EE_1data_rot_0deg/arrow_segments.mat,194,GP/KRR,GP/KRR RBF line field,rbf,47.11498505883144,,0.18,0.15045766153026224,0.15646560225629377,13.054224090913214,10
EE+1-data-225x225/EE_1data_rot_0deg/arrow_segments.mat,194,GP/KRR,GP/KRR uniform line field,uniform,21.80355181091204,,0.03,0.57578249401359,0.18565786008560967,36.50788974541557,10
EE+1-data-225x225/EE_1data_rot_0deg/arrow_segments.mat,194,Nadaraya-Watson,NW RBF-von-Mises line field,multiplicative_rbf_vm,10.090099168608685,16.0,,0.14378152076498987,0.12830563472322268,14.4234848283777,10
EE+1-data-225x225/EE_1data_rot_0deg/arrow_segments.mat,194,Nadaraya-Watson,NW RBF line field,rbf,2.1608857798687535,,,0.19546537360660543,0.15025594338875684,16.66389476014472,10
EE+1-data-225x225/EE_1data_rot_0deg/arrow_segments.mat,194,Nadaraya-Watson,NW uniform line field,uniform,1.0,,,0.20130966102023223,0.1329197645438691,18.227118941894975,10
EE+12-data-225x225/EE_12data_rot_-41.5deg/arrow_segments.mat,101,GP/KRR,GP/KRR RBF-von-Mises line field,multiplicative_rbf_vm,220.0,1.0,0.56,0.14362147874461897,0.13062648207450459,13.763892640311942,10
EE+12-data-225x225/EE_12data_rot_-41.5deg/arrow_segments.mat,101,GP/KRR,GP/KRR RBF line field,rbf,21.80355181091204,,1.0,0.18748170212723334,0.16151368326843485,15.844826740371548,10
EE+12-data-225x225/EE_12data_rot_-41.5deg/arrow_segments.mat,101,GP/KRR,GP/KRR uniform line field,uniform,21.80355181091204,,0.56,0.5169342519402791,0.2678127410161727,33.93405579216481,10
EE+12-data-225x225/EE_12data_rot_-41.5deg/arrow_segments.mat,101,Nadaraya-Watson,NW RBF-von-Mises line field,multiplicative_rbf_vm,101.81010123235768,8.0,,0.15136804313001467,0.12479402174426511,15.389289746963083,10
EE+12-data-225x225/EE_12data_rot_-41.5deg/arrow_segments.mat,101,Nadaraya-Watson,NW RBF line field,rbf,10.090099168608685,,,0.20524126626288583,0.14946153106099186,18.55040355324315,10
EE+12-data-225x225/EE_12data_rot_-41.5deg/arrow_segments.mat,101,Nadaraya-Watson,NW uniform line field,uniform,21.80355181091204,,,0.2024047357007573,0.1397284216061,19.177556997423117,10
EE+13-data-225x225/EE_13data_rot_34.5deg/arrow_segments.mat,80,GP/KRR,GP/KRR RBF-von-Mises line field,multiplicative_rbf_vm,220.0,1.0,0.1,0.1170666357898144,0.13265133814938937,12.075683863059822,10
EE+13-data-225x225/EE_13data_rot_34.5deg/arrow_segments.mat,80,GP/KRR,GP/KRR RBF line field,rbf,10.090099168608685,,1.0,0.14042964360747034,0.16488670434353092,13.959833582005938,10
EE+13-data-225x225/EE_13data_rot_34.5deg/arrow_segments.mat,80,GP/KRR,GP/KRR uniform line field,uniform,101.81010123235768,,0.03,0.3909904006349076,0.20428186216496647,30.620979247458898,10
EE+13-data-225x225/EE_13data_rot_34.5deg/arrow_segments.mat,80,Nadaraya-Watson,NW RBF-von-Mises line field,multiplicative_rbf_vm,10.090099168608685,16.0,,0.14005168707734444,0.16241179980038362,14.228915946588211,10
EE+13-data-225x225/EE_13data_rot_34.5deg/arrow_segments.mat,80,Nadaraya-Watson,NW RBF line field,rbf,4.669427353638992,,,0.16759807028442836,0.17041686700445133,16.737760593831588,10
EE+13-data-225x225/EE_13data_rot_34.5deg/arrow_segments.mat,80,Nadaraya-Watson,NW uniform line field,uniform,10.090099168608685,,,0.1892283777916661,0.201002510604019,18.201318153514322,10
EE-0p2-data-225x225/EE-0.2data_rot_62.5deg/arrow_segments.mat,196,GP/KRR,GP/KRR RBF-von-Mises line field,multiplicative_rbf_vm,4.669427353638992,32.0,0.03,0.11824604213728382,0.11464504357107563,12.691467154720602,10
EE-0p2-data-225x225/EE-0.2data_rot_62.5deg/arrow_segments.mat,196,GP/KRR,GP/KRR RBF line field,rbf,2.1608857798687535,,0.03,0.13519242052889976,0.09493920829838615,14.348084817278226,10
EE-0p2-data-225x225/EE-0.2data_rot_62.5deg/arrow_segments.mat,196,GP/KRR,GP/KRR uniform line field,uniform,10.090099168608685,,0.18,0.6571089853240661,0.3323753592052667,39.420936494453215,10
EE-0p2-data-225x225/EE-0.2data_rot_62.5deg/arrow_segments.mat,196,Nadaraya-Watson,NW RBF-von-Mises line field,multiplicative_rbf_vm,21.80355181091204,32.0,,0.12953936462808333,0.15527146562954455,12.549563807794474,10
EE-0p2-data-225x225/EE-0.2data_rot_62.5deg/arrow_segments.mat,196,Nadaraya-Watson,NW RBF line field,rbf,2.1608857798687535,,,0.13669207178875797,0.0940330286934089,14.525297757897993,10
